File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\Program.cs,62,55,37,2,7,0,0,0,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\GetContentHelper\HtmlSubject.cs,60,45,26,3,5,3,10,53,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\GetContentHelper\IGetHtmlContent.cs,15,13,9,0,2,0,0,0,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\PageInfo\CollectionExtension.cs,23,21,10,1,2,0,0,0,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\PageInfo\IContainerForBlock.cs,24,14,10,0,2,0,8,28,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\PageInfo\IPageAction.cs,15,13,9,0,2,0,0,0,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\PageInfo\IPageManager.cs,17,15,11,0,2,0,0,0,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\PageInfo\Page.cs,45,41,27,2,4,0,0,0,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\PageInfo\PageIterableAction.cs,29,25,13,2,3,0,1,6,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\PageInfo\PageManager.cs,32,27,15,2,5,0,0,0,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\PageInfo\PageSimpleBlock.cs,31,24,10,0,3,0,4,8,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\PageInfo\PageTagBlock.cs,69,57,31,6,3,0,9,27,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\PageInfo\Factory\AbstractPageFactory.cs,14,12,8,0,2,0,0,0,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\PageInfo\Factory\SimplePageFactory.cs,17,15,9,1,2,0,0,0,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\PageInfo\Router\FacadePage.cs,22,19,11,0,3,0,0,0,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\PageInfo\Router\IRepositoryPage.cs,15,13,9,0,2,0,0,0,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\PageInfo\Router\PrefixRouter.cs,26,23,15,1,3,0,0,0,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\Parser\IHtmlParser.cs,16,13,9,0,3,0,0,0,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\Parser\NinjectBindings.cs,21,19,11,0,2,0,0,0,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\Parser\Parser.cs,205,171,102,15,33,0,1,7,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\Parser\SubjectInfo.cs,16,14,10,0,2,0,0,0,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,105,0,0
