Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,22,811,664,395,35,97,3,50,234,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42,22,811,664,395,35,97,3,50,234,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite,22,811,664,395,35,97,3,50,234,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite,22,811,664,395,35,97,3,50,234,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\GetContentHelper,2,75,58,35,3,7,3,10,53,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\PageInfo,14,379,319,188,15,38,0,22,69,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\PageInfo\Factory,2,31,27,17,1,4,0,0,0,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\PageInfo\Router,3,63,55,35,1,8,0,0,0,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\Parser,4,258,217,132,15,40,0,1,7,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\Properties,1,37,15,3,0,5,0,17,105,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Admin\Desktop\Patterns2017\SuchorukovShlyahova-PI_41-Makarov-PI_42\ParserClothingSite\ParserClothingSite\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
